Dataset,Cond_Size,Ridge,k,Learn_A,Norm,Epoch,Acc,Std.
ogbn-arxiv,909,1e1,1,0,0,48,64.09,0.21
ogbn-arxiv,909,1e1,1,0,1,85,64.05,0.03
ogbn-arxiv,909,1e1,1,1,0,148,63.02,0.08
ogbn-arxiv,909,1e1,1,1,1,73,62.86,0.07
ogbn-arxiv,909,1e1,2,0,0,78,65.65,0.07
ogbn-arxiv,909,1e1,2,0,1,113,65.38,0.06
ogbn-arxiv,909,1e1,2,1,0,193,65.22,0.18
ogbn-arxiv,909,1e1,2,1,1,197,64.30,0.55
ogbn-arxiv,909,1e1,3,0,0,78,65.08,0.40
ogbn-arxiv,909,1e1,3,0,1,123,64.96,0.16
ogbn-arxiv,909,1e1,3,1,0,195,53.87,0.17
ogbn-arxiv,909,1e1,3,1,1,195,51.27,5.08
ogbn-arxiv,909,1e1,4,0,0,170,64.57,0.16
ogbn-arxiv,909,1e1,4,0,1,162,64.42,0.08
ogbn-arxiv,909,1e1,4,1,0,10,17.71,9.41
ogbn-arxiv,909,1e1,4,1,1,4,16.86,9.50
