Dataset,Cond_ratio,Ridge,k,Learn_A,Epoch,Acc,Std.,Time
Citeseer,0.5,1e0,3,0,105,71.28,0.79,1.576
Citeseer,0.5,1e0,3,1,200,34.60,5.29,1.540
Citeseer,0.5,1e0,4,0,101,71.70,0.81,1.479
Citeseer,0.5,1e0,4,1,168,31.96,3.43,1.519
Citeseer,0.5,1e0,5,0,100,71.94,1.20,0.946
Citeseer,0.5,1e0,5,1,177,32.36,2.59,1.619
Citeseer,0.5,5,1,0,124,70.70,1.16,1.461
Citeseer,0.5,5,1,1,179,71.28,0.98,1.469
Citeseer,0.5,5,2,0,131,71.94,1.00,1.859
Citeseer,0.5,5,2,1,200,40.88,3.53,1.784
Citeseer,0.5,5,3,0,138,72.22,1.07,1.686
Citeseer,0.5,5,3,1,167,31.72,2.76,1.487
Citeseer,0.5,5,4,0,142,72.08,0.64,1.595
Citeseer,0.5,5,4,1,177,31.82,2.47,1.384
Citeseer,0.5,5,5,0,136,72.24,0.93,1.109
Citeseer,0.5,5,5,1,180,32.32,2.51,1.673
Citeseer,0.5,1e1,1,0,147,71.00,0.59,2.240
Citeseer,0.5,1e1,1,1,200,70.14,0.95,1.677
Citeseer,0.5,1e1,2,0,164,72.42,0.23,1.759
Citeseer,0.5,1e1,2,1,194,32.94,4.21,1.603
Citeseer,0.5,1e1,3,0,155,72.08,1.23,2.092
Citeseer,0.5,1e1,3,1,170,31.66,2.75,1.436
Citeseer,0.5,1e1,4,0,156,72.36,1.62,2.059
Citeseer,0.5,1e1,4,1,171,31.48,2.73,1.350
Citeseer,0.5,1e1,5,0,158,72.64,0.92,1.248
Citeseer,0.5,1e1,5,1,184,32.54,2.75,1.401
Citeseer,1,1e-3,1,0,38,68.94,1.69,1.014
Citeseer,1,1e-3,1,1,119,70.14,0.62,1.068
Citeseer,1,1e-3,2,0,43,71.16,0.89,0.996
Citeseer,1,1e-3,2,1,59,69.46,1.00,0.639
Citeseer,1,1e-3,3,0,33,71.44,0.75,0.955
Citeseer,1,1e-3,3,1,72,66.06,1.92,0.825
Citeseer,1,1e-3,4,0,33,71.52,0.70,0.948
Citeseer,1,1e-3,4,1,173,63.32,1.70,1.542
Citeseer,1,1e-3,5,0,33,71.48,0.38,0.540
Citeseer,1,1e-3,5,1,192,33.98,4.16,1.662
Citeseer,1,1e-2,1,0,46,70.40,0.34,0.875
